KPI Type,Value,Color
RSRP,999> RSRP>-20,#000000
RSRP,-20> RSRP>-60,#000080
RSRP,-60> RSRP>-65,#0000FF
RSRP,-65> RSRP>-70,#00FFFF
RSRP,-70> RSRP>-75,#008080
RSRP,-75> RSRP>-80,#008000
RSRP,-80> RSRP>-85,#00FF00
RSRP,-85> RSRP>-90,#808000
RSRP,-90> RSRP>-95,#FFFF00
RSRP,-95> RSRP>-100,#800000
RSRP,-100> RSRP>-105,#FF0000
RSRP,-105> RSRP>-110,#800080
RSRP,-110> RSRP>-140,#FF00FF
RSRP,-140> RSRP>-160,#000000
